Properti_Name,Price,Lokasi,Detail
"Dijual Rumah Siap Huni, Lingkungan Komplek di Cipete",Rp 6.000.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 260 m2
Di Jual Cepat Rumah Ragunan Harga Murah,Rp 2.100.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 139 m2
Kebayoran Baru lokasi dekat stasiun MRT dan Panglima Polim Raya,Rp 5.800.000.000,"Kebayoran Baru, Jakarta Selatan",10 KT - 3 KM - 237 m2
South Quarter Residence Tipe 1 BR + Study,Rp 2.617.738.820,"Cilandak, Jakarta Selatan",1 KT - 1 KM - 60 m2
Dijual Rumah Pondok Indah Brand New Ada Swimming Pool #128951,Rp 9.300.000.000,"Jakarta Selatan, Jakarta D.K.I.",3 KT - 2 KM - 390 m2
"Hunian Modern Classic 2-lantai Plus Rooftop, Akses Mobil di Jagakarsa",Rp 860.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 91 m2
"Hunian Modern Classic 2-lantai Plus Rooftop, Akses Mobil di Jagakarsa",Rp 860.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 91 m2
Rumah Siap Huni Halaman Luas,Rp 25.000.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 385.0 m2
Rumah manis harga ekonomis lokasi strategis di meruyung cinere depok,Rp 275.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah manis harga ekonomis lokasi strategis di meruyung cinere depok,Rp 275.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 30 m2
Turun Harga Apt Pejaten Park Residence 1 Br Ff,Rp 1.250.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 42 m2
Rumah Baru Siap Huni Di Komplek Ampera Dekat Kemang Jaksel,Rp 5.900.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 6 KM - 430 m2
rumah baru siap huni pool di pakubowono kebayoran baru SHM,Rp 35.000.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 840 m2
RUMAH LAMA HITUNG TANAH DENGAN LOKASI STRATEGIS,Rp 20.000.000.000,"Kebayoran Baru, Jakarta Selatan",7 KT - 3 KM - 300 m2
Hunian memukau harga terjangkau di meruyung cinere depok,Rp 350.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2
Rumah Pejaten Ampera Jual Cepat turun harga,Rp 10.000.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 3 KM - 200 m2
DIJUAL RUMAH DI PESONA LINE14 RESIDENCE DEKAT MALLA EON TANJUNG BARAT,Rp 1.900.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 57 m2
Jual unit Apartmen L'avenue office & Residence,Rp 1.300.000.000,"Pancoran, Jakarta Selatan",1 KT - 1 KM - 64 m2
Cluster murah 2 Lantai Bintaro sebelah mall Bx Change,Rp 1.300.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 3 KM - 83 m2
Jual Cepat Tower Tulip Type 3 BR Aparteemen Kalibata City Green Palace,Rp 675.000.000,"Pancoran, Jakarta Selatan",3 KT - 1 KM - 50 m2
PANCORAN METROPOLITAN 18 RESIDENCE,Rp 3.900.000.000,"Pancoran, Jakarta Selatan",4 KT - 4 KM - 200 m2
RUMAH CANTIK FULL RENOVATION DENGAN DESIGN AMERICAN CLASSIC,Rp 32.000.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 600 m2
"DIJUAL CEPAT RUMAH MEWAH BARU DI BRAWIJAYA, KEBAYORAN BARU",Rp 39.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 550 m2
dijual rumah dalam cluster siap huni dipejaten barat,Rp 6.300.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 325 m2
dijual rumah jalan Adhiyaksa raya,Rp 25.000.000.000,"Cilandak, Jakarta Selatan",7 KT - 5 KM - 600 m2
"DIJUAL RUMAH MEWAH BARU DI BRAWIJAYA, KEBAYORAN BARU",Rp 32.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 550 m2
"RUMAH  3 LANTAI STRATEGIS DEKAT KE JALAN RAYA , KEBAYORAN BARU",Rp 11.500.000.000,"Kebayoran Baru, Jakarta Selatan",8 KT - 7 KM - 225 m2
dijual rumah dalam komplek dipejaten timur,Rp 2.500.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 2 KM - 180 m2
Rumah cluster di meruyung cinere depok,Rp 350.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 36 m2
